component,module,line,kind
NetworkPolicy,src.aura.agent.policy,504,class
PolicyEngine,src.aura.agent.policy,526,class
InstructionTrustRecord,src.aura.agent.policy,742,class
PromptInjectionFinding,src.aura.agent.policy,751,class
InstructionTrustPolicy,src.aura.agent.policy,758,class
DataTransferGuard,src.aura.agent.policy,821,class
AgentProvider,src.aura.agent.providers.base,8,class
CodexAppServerProvider,src.aura.agent.providers.codex_app_server,106,class
CodexCompatibility,src.aura.agent.providers.codex_compat,15,class
_PendingRequest,src.aura.agent.providers.codex_rpc,20,class
JsonLineRpcClient,src.aura.agent.providers.codex_rpc,31,class
DemoAgentProvider,src.aura.agent.providers.demo,19,class
PublicationBlocked,src.aura.agent.publication,22,class
PublicationFailed,src.aura.agent.publication,26,class
PublicationEvidence,src.aura.agent.publication,33,class
PublicationManager,src.aura.agent.publication,73,class
ArchitecturePackageResult,src.aura.agent.reporting,494,class
ArchitecturePackageGenerator,src.aura.agent.reporting,585,class
RepositoryInspection,src.aura.agent.repository_registry,16,class
RepositoryRegistry,src.aura.agent.repository_registry,33,class
WorkloadClass,src.aura.agent.scheduler,10,class
ResourceLimits,src.aura.agent.scheduler,19,class
ResourceSnapshot,src.aura.agent.scheduler,32,class
ResourceRequest,src.aura.agent.scheduler,43,class
GovernorDecision,src.aura.agent.scheduler,50,class
ResourceGovernor,src.aura.agent.scheduler,56,class
SchedulerResult,src.aura.agent.scheduler,122,class
DurableRunScheduler,src.aura.agent.scheduler,128,class
AgentWorkspaceState,src.aura.agent.state,40,class
AgentEventReducer,src.aura.agent.state,178,class
SupportBundleExporter,src.aura.agent.support,17,class
WorkflowRegistry,src.aura.agent.workflows,167,class
WorktreeContext,src.aura.agent.worktree,19,class
WorktreeManager,src.aura.agent.worktree,31,class
FileTranscriptionCancelled,src.aura.asr.file_pipeline,40,class
CancellationToken,src.aura.asr.file_pipeline,45,class
FileTranscriptionSettings,src.aura.asr.file_pipeline,57,class
FileTranscriptionResult,src.aura.asr.file_pipeline,79,class
PunctuationResult,src.aura.asr.punctuation,52,class
TransformersChinesePunctuationRestorer,src.aura.asr.punctuation,178,class
FileTranscriberThread,src.aura.asr.threads,80,class
ModelLoaderThread,src.aura.asr.threads,181,class
TranscriberThread,src.aura.asr.threads,232,class
PulseSource,src.aura.audio.capture,44,class
PulseRawInput,src.aura.audio.capture,281,class
PulseCaptureReader,src.aura.audio.capture,325,class
PyAudioCaptureReader,src.aura.audio.capture,358,class
AudioRecorderThread,src.aura.audio.capture,388,class
DenoisePolicy,src.aura.audio.denoise,16,class
EnhancementResult,src.aura.audio.enhancement_backends,23,class
RecordingAudioFormat,src.aura.audio.export,20,class
MeetingDistancePolicy,src.aura.audio.meeting_distance,21,class
FfmpegUnavailable,src.aura.audio.normalization,17,class
CpuDetectionResult,src.aura.audio.normalization,22,class
RecordingSession,src.aura.audio.recording_session,172,class
SmartSplitterThread,src.aura.audio.splitter,6,class
SplitterSettings,src.aura.audio.splitter_pipeline,15,class
SplitDecision,src.aura.audio.splitter_pipeline,32,class
SplitResult,src.aura.audio.splitter_pipeline,40,class
AuditRecorder,src.aura.audit,158,class
DiarizationDependencyError,src.aura.diarization.pyannote_pipeline,18,class
DiarizationSettings,src.aura.diarization.pyannote_pipeline,23,class
TranscriptSegment,src.aura.diarization.speaker_assignment,8,class
SpeakerTurn,src.aura.diarization.speaker_assignment,16,class
SpeakerLabeledSegment,src.aura.diarization.speaker_assignment,23,class
IndexStats,src.aura.evidence_search,12,class
EvidenceSearch,src.aura.evidence_search,425,class
OllamaRuntimeError,src.aura.llm.ollama_runtime,21,class
OllamaRuntimeStatus,src.aura.llm.ollama_runtime,26,class
SummarySettings,src.aura.llm.summary,12,class
SummaryThread,src.aura.llm.threads,17,class
OllamaRuntimeThread,src.aura.llm.threads,45,class
OllamaPullThread,src.aura.llm.threads,94,class
ReviewSegment,src.aura.review,30,class
TranscriptReview,src.aura.review,156,class
AppSettings,src.aura.settings,17,class
AudioDiagnostics,src.aura.system.audio_diagnostics,8,class
CommandCheck,src.aura.system.gpu_diagnostics,23,class
GpuDiagnostics,src.aura.system.gpu_diagnostics,32,class
RuntimePlatform,src.aura.system.platform,15,class
DiarizationDiagnostics,src.aura.system.runtime_report,36,class
PunctuationDiagnostics,src.aura.system.runtime_report,64,class
OllamaDiagnostics,src.aura.system.runtime_report,85,class
RuntimeDiagnostics,src.aura.system.runtime_report,100,class
FirstLaunchCheck,src.aura.system.runtime_report,156,class
UpdateCheckerThread,src.aura.system.update_checker,23,class
WorkspaceActionGroup,src.aura.ui.agent_workspace.action_group,6,class
AgentWorkspaceActions,src.aura.ui.agent_workspace.actions,12,class
AgentComposer,src.aura.ui.agent_workspace.agent_composer,23,class
StartContext,src.aura.ui.agent_workspace.application,33,class
StartReadiness,src.aura.ui.agent_workspace.application,74,class
AgentWorkspaceApplicationService,src.aura.ui.agent_workspace.application,80,class
ArtifactActions,src.aura.ui.agent_workspace.artifact_actions,129,class
ArtifactInspector,src.aura.ui.agent_workspace.artifact_inspector,18,class
BoundedArtifactPreview,src.aura.ui.agent_workspace.artifact_models,12,class
ChangedFileRow,src.aura.ui.agent_workspace.artifact_models,36,class
ChangedFileRole,src.aura.ui.agent_workspace.artifact_models,43,class
ChangedFilesModel,src.aura.ui.agent_workspace.artifact_models,50,class
EvidenceArtifactView,src.aura.ui.agent_workspace.artifact_views,12,class
DiffArtifactView,src.aura.ui.agent_workspace.artifact_views,19,class
TestArtifactView,src.aura.ui.agent_workspace.artifact_views,64,class
ReportArtifactView,src.aura.ui.agent_workspace.artifact_views,71,class
RunDetailsView,src.aura.ui.agent_workspace.artifact_views,78,class
ProjectionChange,src.aura.ui.agent_workspace.coalescer,12,class
TimelineCoalescer,src.aura.ui.agent_workspace.coalescer,18,class
StartRunRequest,src.aura.ui.agent_workspace.commands,7,class
StopRunRequest,src.aura.ui.agent_workspace.commands,16,class
ApprovalDecision,src.aura.ui.agent_workspace.commands,21,class
SteerRunRequest,src.aura.ui.agent_workspace.commands,28,class
QueueFollowUpRequest,src.aura.ui.agent_workspace.commands,34,class
QueuedFollowUp,src.aura.ui.agent_workspace.commands,48,class
IntentEditor,src.aura.ui.agent_workspace.composer,8,class
EvidenceActions,src.aura.ui.agent_workspace.evidence_actions,131,class
EvidenceCandidateModel,src.aura.ui.agent_workspace.evidence_picker,21,class
EvidenceContextPicker,src.aura.ui.agent_workspace.evidence_picker,120,class
IntentActions,src.aura.ui.agent_workspace.intent_actions,133,class
AgentUiPreferences,src.aura.ui.agent_workspace.preferences,11,class
AgentUiPreferenceStore,src.aura.ui.agent_workspace.preferences,27,class
TimelineEventRecord,src.aura.ui.agent_workspace.presentation_support,151,class
TimelineCard,src.aura.ui.agent_workspace.presentation_support,241,class
ApprovalCard,src.aura.ui.agent_workspace.presentation_support,312,class
TrustedRendererRegistry,src.aura.ui.agent_workspace.presentation_support,402,class
AgentWorkspacePresenter,src.aura.ui.agent_workspace.presenter,12,class
RepositoryActions,src.aura.ui.agent_workspace.repository_actions,129,class
RunActions,src.aura.ui.agent_workspace.run_actions,134,class
AgentSettingsDialog,src.aura.ui.agent_workspace.settings,21,class
ThreadNodeRole,src.aura.ui.agent_workspace.sidebar,10,class
ThreadRow,src.aura.ui.agent_workspace.sidebar,18,class
RepositoryThreads,src.aura.ui.agent_workspace.sidebar,28,class
_Node,src.aura.ui.agent_workspace.sidebar,35,class
RepositoryThreadModel,src.aura.ui.agent_workspace.sidebar,52,class
ThreadRowDelegate,src.aura.ui.agent_workspace.sidebar_view,32,class
WorkspaceSidebar,src.aura.ui.agent_workspace.sidebar_view,80,class
AgentWorkspaceSubsystem,src.aura.ui.agent_workspace.subsystem,17,class
TimelineRole,src.aura.ui.agent_workspace.timeline,12,class
TimelineModel,src.aura.ui.agent_workspace.timeline,22,class
TimelineDelegate,src.aura.ui.agent_workspace.timeline_view,16,class
ThreadTimelineView,src.aura.ui.agent_workspace.timeline_view,71,class
PrimaryAction,src.aura.ui.agent_workspace.view_state,7,class
ThreadHeaderViewState,src.aura.ui.agent_workspace.view_state,13,class
ComposerViewState,src.aura.ui.agent_workspace.view_state,21,class
AgentWorkspaceViewState,src.aura.ui.agent_workspace.view_state,30,class
TimelineItemViewState,src.aura.ui.agent_workspace.view_state,36,class
AgentWorkspaceView,src.aura.ui.agent_workspace.workspace_view,131,class
TaskRail,src.aura.ui.agent_workspace_components,26,class
DynamicArtifactInspector,src.aura.ui.agent_workspace_components,119,class
EnvironmentDialog,src.aura.ui.agent_workspace_components,169,class
ControlPanelDialog,src.aura.ui.agent_workspace_components,204,class
RecoveryCard,src.aura.ui.agent_workspace_components,348,class
AgentWorkspaceTab,src.aura.ui.agent_workspace_tab,22,class
MainWindow,src.aura.ui.main_window,32,class
UIStrings,src.aura.ui.messages,13,class
SplitterTab,src.aura.ui.splitter_tab,25,class
SummaryClaimsTable,src.aura.ui.summary_claims_table,16,class
PreparedTranscript,src.aura.ui.transcript_io,19,class
TranscriptSession,src.aura.ui.transcript_io,29,class
TranscriptReviewTable,src.aura.ui.transcript_review_table,37,class
TranscriptionTab,src.aura.ui.transcription_tab,102,class
FieldValidationResult,src.summary.field_schemas,50,class
JsonGenerationClient,src.summary.layered_summary_pipeline,38,class
ExtractorLog,src.summary.layered_summary_pipeline,44,class
LayeredSummaryResult,src.summary.layered_summary_pipeline,55,class
OllamaGemmaError,src.summary.ollama_gemma4_client,19,class
OllamaGemmaConfig,src.summary.ollama_gemma4_client,24,class
OllamaGemma4Client,src.summary.ollama_gemma4_client,36,class
JsonLineRpcClientTests,tests.test_agent_codex_provider,37,class
CodexAppServerProviderTests,tests.test_agent_codex_provider,158,class
AgentRunControllerTests,tests.test_agent_controller,19,class
AgentEventTests,tests.test_agent_core,28,class
AgentStateTests,tests.test_agent_core,78,class
ModelProfileTests,tests.test_agent_core,201,class
WorkflowRegistryTests,tests.test_agent_core,279,class
StableDailyDomainTests,tests.test_agent_core,294,class
ActionRegistryTests,tests.test_agent_core,404,class
DemoAgentProviderTests,tests.test_agent_demo,6,class
AuraEvidenceAdapterTests,tests.test_agent_integrations,26,class
WorktreeManagerTests,tests.test_agent_integrations,182,class
RepositoryRegistryTests,tests.test_agent_integrations,266,class
ArchitecturePackageGeneratorTests,tests.test_agent_integrations,334,class
DummyTranscriptionTab,tests.test_agent_main_window,15,class
DummySplitterTab,tests.test_agent_main_window,27,class
DummyAgentTab,tests.test_agent_main_window,32,class
AgentMainWindowIntegrationTests,tests.test_agent_main_window,43,class
AgentRunStoreTests,tests.test_agent_persistence,21,class
AgentCatalogTests,tests.test_agent_persistence,95,class
AgentStorageManagerTests,tests.test_agent_persistence,260,class
PathPolicyTests,tests.test_agent_policy,22,class
CommandPolicyTests,tests.test_agent_policy,70,class
TransferBoundaryTests,tests.test_agent_policy,97,class
PolicyEngineTests,tests.test_agent_policy,163,class
InstructionTrustTests,tests.test_agent_policy,295,class
PublicationManagerTests,tests.test_agent_publication,28,class
DurableRunSchedulerTests,tests.test_agent_scheduler,25,class
AgentSecurityTests,tests.test_agent_security,17,class
SupportBundleExporterTests,tests.test_agent_support,13,class
AgentWorkspaceTabTests,tests.test_agent_ui,43,class
AgentWorkspaceArchitectureTests,tests.test_agent_workspace_architecture,49,class
RepositoryThreadModelTests,tests.test_agent_workspace_models,50,class
TimelineProjectionTests,tests.test_agent_workspace_models,109,class
AgentUiPreferenceTests,tests.test_agent_workspace_models,226,class
IntentEditorTests,tests.test_agent_workspace_models,261,class
AgentWorkspacePerformanceTests,tests.test_agent_workspace_performance,51,class
AgentWorkspaceRedesignTests,tests.test_agent_workspace_redesign,28,class
AudioCaptureTests,tests.test_audio_capture,39,class
Reader,tests.test_audio_capture,236,class
Reader,tests.test_audio_capture,279,class
AudioExportTests,tests.test_audio_export,19,class
AudioNormalizationTests,tests.test_audio_normalization,19,class
FakeStdout,tests.test_audio_normalization,78,class
FakeProcess,tests.test_audio_normalization,82,class
AuditTests,tests.test_audit,16,class
BumpVersionTests,tests.test_bump_version,15,class
ClaimReviewTests,tests.test_claim_review,9,class
DenoiseTests,tests.test_denoise,20,class
DenoiseEvalWorkspaceTests,tests.test_denoise_eval_workspace,10,class
DiscoverDenoiseEvalCandidatesTests,tests.test_discover_denoise_eval_candidates,15,class
EnhancementBackendTests,tests.test_enhancement_backends,28,class
EvaluateDenoiseBackendsTests,tests.test_evaluate_denoise_backends,27,class
EvidenceSearchTests,tests.test_evidence_search,118,class
FakeModel,tests.test_file_pipeline,35,class
FakeChineseModel,tests.test_file_pipeline,44,class
FakeLowConfidenceModel,tests.test_file_pipeline,53,class
FilePipelineTests,tests.test_file_pipeline,65,class
FuzzyCorrectionAuditTests,tests.test_fuzzy_correction_audit,18,class
FuzzyCorrectorTests,tests.test_fuzzy_corrector,10,class
FuzzyManualReviewTests,tests.test_fuzzy_manual_review,83,class
G4E4BPipelineValidityTests,tests.test_g4e4b_pipeline_validity,17,class
GateDenoiseDefaultPromotionTests,tests.test_gate_denoise_default_promotion,26,class
Gemma4E4BSummaryImpactTests,tests.test_gemma4_e4b_summary_impact,33,class
GeneratePairedSummaryArtifactsTests,tests.test_generate_paired_summary_artifacts,12,class
GpuPolicyTests,tests.test_gpu_policy,7,class
ImportSmokeTests,tests.test_imports,8,class
FakeClient,tests.test_layered_summary_pipeline,53,class
LayeredSummaryPipelineTests,tests.test_layered_summary_pipeline,78,class
MainWindowRecoveryTests,tests.test_main_window_recovery,14,class
MarkdownRendererTests,tests.test_markdown_renderer,9,class
MeetingDistancePolicyTests,tests.test_meeting_distance,18,class
PracticalMeetingSummaryTests,tests.test_meeting_summary,19,class
FakeResponse,tests.test_ollama_runtime,19,class
OllamaRuntimeTests,tests.test_ollama_runtime,33,class
PackagedResourcesTests,tests.test_packaged_resources,10,class
PrepareDenoiseEvalCaseTests,tests.test_prepare_denoise_eval_case,12,class
PromptDefaultTests,tests.test_prompt_defaults,17,class
Model,tests.test_prompt_defaults,101,class
FakeRestorer,tests.test_punctuation,16,class
PunctuationTests,tests.test_punctuation,25,class
RecordingSessionTests,tests.test_recording_session,20,class
RecordingShutdownTests,tests.test_recording_shutdown,10,class
Timer,tests.test_recording_shutdown,14,class
Recorder,tests.test_recording_shutdown,18,class
Transcriber,tests.test_recording_shutdown,25,class
RuntimeDiagnosticsTests,tests.test_runtime_diagnostics,23,class
RuntimePathTests,tests.test_runtime_paths,11,class
SchedulingTests,tests.test_scheduling,7,class
SettingsTests,tests.test_settings,17,class
SpeakerAssignmentTests,tests.test_speaker_assignment,24,class
FakePipeline,tests.test_speaker_assignment,120,class
SplitterPipelineTests,tests.test_splitter_pipeline,21,class
SummaryTests,tests.test_summary,17,class
Result,tests.test_summary,33,class
SummaryClaimsTableTests,tests.test_summary_claims_table,19,class
SummaryImpactEvaluationTests,tests.test_summary_impact_eval,17,class
FakeButton,tests.test_summary_ui_runtime,9,class
FakeTextArea,tests.test_summary_ui_runtime,17,class
FakeSignal,tests.test_summary_ui_runtime,29,class
FakeRuntimeThread,tests.test_summary_ui_runtime,41,class
SummaryUiRuntimeTests,tests.test_summary_ui_runtime,68,class
TranscriptIoTests,tests.test_transcript_io,23,class
TranscriptReviewTests,tests.test_transcript_review,20,class
TranscriptReviewTableTests,tests.test_transcript_review_table,21,class
FakeStyle,tests.test_ui_state,22,class
FakeButton,tests.test_ui_state,30,class
FakePanel,tests.test_ui_state,54,class
FakeSplitter,tests.test_ui_state,62,class
FakeTextArea,tests.test_ui_state,70,class
FakeCombo,tests.test_ui_state,78,class
FakeAudit,tests.test_ui_state,83,class
UiStateTests,tests.test_ui_state,91,class
UpdateCheckerTests,tests.test_update_checker,7,class
VersioningTests,tests.test_versioning,13,class
